iter	Logloss
0	0.6882180295
1	0.682797394122	0.679527252633	0.675411669644	0.671756025455	0.668767922166	0.665971367777	0.66308443588	0.660302696299	0.6583300152110	0.656247296611	0.6548132852
12	0.6529821858113	0.6508619201414	0.649401778115	0.647616125911116	0.646411251717	0.6426125981818	0.6411326281919	0.6398230922020	0.638673952221	0.6376349493222	0.6366587232223	0.6355468761224	0.6342903945225	0.6334734111226	0.6324102123227	0.6316296994228	0.6305784777229	0.629744898
30	0.6289855688
31	0.6282931006
32	0.6278261268
33	0.6273851845
34	0.6266771825335	0.6261384054336	0.6256161314
37	0.6251196731
38	0.6243099689
39	0.6237383971
40	0.623220561
41	0.6226637789442	0.6221492265443	0.6216191317444	0.6212157806445	0.6207128793446	0.6203412795447	0.6199476948448	0.6195374231449	0.6189963399550	0.618597002
51	0.6180927448
52	0.6176832574
53	0.6172847681
54	0.6169799653
55	0.6167489294
56	0.6164265266
57	0.6161531158
58	0.615783997
59	0.6155145878
60	0.6154527089
61	0.6151170894
62	0.6148454495
63	0.6146588358
64	0.6142341027
65	0.6139932453666	0.6136802231667	0.6134400642668	0.6132535315669	0.6129222358770	0.6125746451
71	0.6122635518
72	0.6119725529
73	0.6116989947474	0.6113186727575	0.6109983087676	0.6105429394
77	0.6102387302
78	0.6099813189
79	0.6096366753
80	0.6094494285
81	0.609127975
82	0.6088566427
83	0.6085012959
84	0.6081568468
85	0.6078355937
86	0.6076148085
87	0.6073510834
88	0.6069836821
89	0.6067979798
90	0.6065583767
91	0.6063691505
92	0.6061230339
93	0.6058680018
94	0.6056649257
95	0.6053957431
96	0.6051916862
97	0.6049716326
98	0.6047305787
99	0.6045021449
100	0.6042464842
101	0.60392265541102	0.60371198411103	0.60343902031104	0.60304277741105	0.60286995861106	0.602637709
107	0.6023622537
108	0.6021888779
109	0.6019145261
110	0.6016956449
111	0.6014971202
112	0.6013505905
113	0.6011253086
114	0.6009102904
115	0.6006997569
116	0.6004444462
117	0.6002014629
118	0.600025254
119	0.5998741162
120	0.5997038025
121	0.5995493055
122	0.5993680077
123	0.5992435934
124	0.5989963744
125	0.5988117714
126	0.5986469409
127	0.5984593431
128	0.5982365882
129	0.5980825638
130	0.597879029
131	0.5976307213
132	0.5973933056
133	0.5971806782
134	0.5970220682
135	0.5967772378
136	0.5965310361
137	0.5962829492
138	0.5961177772
139	0.5958579369
140	0.5956902429
141	0.5954132234
142	0.5952821767
143	0.5951235485
144	0.5949951323
145	0.5948251129
146	0.594626964
147	0.59444027614148	0.59415959414149	0.59394527615150	0.59370600151151	0.59348701152	0.5962049203
153153	0.59671786154154	0.5965202385
155	0.5963931518
156	0.5961501987
157	0.5959521677
158	0.5956925877
159	0.595540037
160	0.5954088299
161	0.5951971859
162	0.5949851883
163	0.5948231703
164	0.5946548474
165	0.5945430987
166	0.5943655316
167	0.5941625799
168	0.5939541227
169	0.59376124911170	0.59363883141171	0.59342440021172	0.59332064651173	0.59323667231174	0.59304064017175	0.59278245517176	0.59263722717177	0.5923658339
178	0.5921865713
179	0.5920333373
180	0.5918830975
181	0.5916268221
182	0.5914511838
183	0.5912480828
184	0.591059158
185	0.5909212722
186	0.59067539561187	0.5904211003188	0.5863097604
189	0.58615965619190	0.58587604019191	0.58567999519192	0.58553243519193	0.58531974194194	0.58518239195195	0.5850269419196	0.58480837619197	0.58466807219198	0.5845035765
199	0.5843708171
200	0.5842289443
201	0.5841057546
202	0.5840465598
203	0.583883926
204	0.583728241
205	0.5835259862
206	0.5832395664
207	0.583012669
208	0.5828982357
209	0.5827304607
210	0.5825078625
211	0.5823550898
212	0.5821604539
213	0.5819669031
214	0.5817643326
215	0.5816318057
216	0.5814529438
217	0.5812508893
218	0.5810751197
219	0.5809579073
220	0.5808397816
221	0.580650581
222	0.5805392619
223	0.5803733097
224	0.5802198842
225	0.5800182944
226	0.5798154217
227	0.5795905605
228	0.579445355
229	0.5792328988
230	0.5790445024
231	0.5788115194
232	0.5821314792
233	0.5819419806
234	0.5817185082
235	0.5814105556
236	0.5812743004
237	0.5810688382
238	0.5808492349
239	0.5807375316
240	0.5804695953
241	0.5802484306
242	0.5800675829
243	0.5798174313
244	0.5794895916
245	0.5792967379
246	0.5791191642
247	0.5788932185
248	0.5787145145
249	0.5785225081
250	0.5783142055
251	0.5781010134
252	0.5778844083
253	0.5776840544
254	0.5775005594
255	0.5773588337
256	0.5771348542
257	0.5769415648
258	0.5767426046
259	0.5765995341
260	0.5764081787
261	0.5761533082
262	0.5759161042
263	0.5757514383
264	0.5755019221
